"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1709574905259,"04/03/2024 17:55:05",1709574905259,0,"04/03/2024 17:55:05",169741,4,"questionnaire-xamc",NA,35763242,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_second","1","2","SUPPRF45961"
"1",1709576914003,"04/03/2024 18:28:34",1709558914003,-5,"04/03/2024 08:28:34",169741,4,"questionnaire-xamc",NA,35767983,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_first","1","2","SUPPRF85564"
"1",1709577497558,"04/03/2024 18:38:17",1709577497558,0,"04/03/2024 18:38:17",169741,4,"questionnaire-xamc",NA,35768331,10572250,NA,"complete",NA,"65e6145c5ea714f6ca7020b0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x595",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_second","1","2","SUPPRF01010"
"1",1709578070863,"04/03/2024 18:47:50",1709578070863,0,"04/03/2024 18:47:50",169741,4,"questionnaire-xamc",NA,35768653,10572350,NA,"complete",NA,"65e61655112ede9803cb7027","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 113.0.0.0","1440x900","1440x700",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1","2","SUPPRF90122"
"1",1709579334532,"04/03/2024 19:08:54",1709579334532,0,"04/03/2024 19:08:54",169741,4,"questionnaire-xamc",NA,35769392,10572429,NA,"complete",NA,"65e618b72145f01e320788fb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x679",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_first","1","2","SUPPRF33311"
"1",1709579063006,"04/03/2024 19:04:23",1709557463006,-6,"04/03/2024 07:04:23",169741,4,"questionnaire-xamc",NA,35769306,10572500,NA,"complete",NA,"65e61ac1ea11151a57933935","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1366x768","1366x599",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","Chocking_first","1","2","SUPPRF99447"
"1",1709580628842,"04/03/2024 19:30:28",1709580628842,0,"04/03/2024 19:30:28",169741,4,"questionnaire-xamc",NA,35770183,10572707,NA,"complete",NA,"65e6212196c95a694dd9bf64","computer","Desktop or Laptop","Linux x86_64","Chrome 122.0.0.0","1920x1080","1920x863",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_first","1","2","SUPPRF68034"
"1",1709580699980,"04/03/2024 19:31:39",1709580699980,0,"04/03/2024 19:31:39",169741,4,"questionnaire-xamc",NA,35770235,10572714,NA,"complete",NA,"65e6212570d2d33db2d2c762","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","Chocking_second","1","2","SUPPRF40866"
"1",1709582195439,"04/03/2024 19:56:35",1709564195439,-5,"04/03/2024 09:56:35",169741,4,"questionnaire-xamc",NA,35771206,10572920,NA,"complete",NA,"65e627240d9a8286e779f5d0","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_first","1","2","SUPPRF82077"
"1",1709582259446,"04/03/2024 19:57:39",1709582259446,0,"04/03/2024 19:57:39",169741,4,"questionnaire-xamc",NA,35771259,10572941,NA,"complete",NA,"65e62789fe158501e40a907f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Failed AC2","Passed AC1","Chocking_second","1","2","SUPPRF89522"
