Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,Age object-3 Response,Age object-3 Quantised,Gender object-6 Response,Gender object-6 Quantised,Ethnicity object-7 Response,Ethnicity object-7 Quantised,Clinician? object-24 Response,Clinician? object-24 Quantised,Professional background object-9 Response,Professional background object-9 Quantised,Professional background - other object-10 Value,Professional background - no core profession object-11 Value,Professional background - trainee object-12 Value,Professional background - training stage object-13 Value,Years practiced object-16 Value,CAMHS? object-25 Response,CAMHS? object-25 Quantised,Type of service object-18 Response,Type of service object-18 Quantised,Region object-19 Response,Region object-19 Quantised,Region - other object-20 Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**How old are you?**,**How old are you?**,**How would you describe your gender?**,**How would you describe your gender?**,**What is your ethnicity?**,**What is your ethnicity?**,"**Are you a clinician who works with, or has previously worked with, children/adolescents/young people in a mental health setting/service?**","**Are you a clinician who works with, or has previously worked with, children/adolescents/young people in a mental health setting/service?**","**If you are a qualified clinician, what is your profession? If you are still training please select ‘trainee’.**","**If you are a qualified clinician, what is your profession? If you are still training please select ‘trainee’.**","**If you selected ‘other’, please specify**",**If you selected ‘no core profession’ please tell us about your role and professional background**,**If you selected ‘trainee’ please tell us the type of training you are undertaking**  ,**What stage are you at with your training?**,**How many years have you practiced since qualification?** (Please round up to the nearest year),**Do you work in a Child and Adolescent Mental Health Service (CAMHS)?**,**Do you work in a Child and Adolescent Mental Health Service (CAMHS)?**,**What type of CAMHS do you work in?**,**What type of CAMHS do you work in?**,**Please select the region of the service you work in:**,**Please select the region of the service you work in:**,"**If you selected 'other’, please specify:**"
1,1741166019401,05/03/2025 09:13:39,1741166019401,0,05/03/2025 09:13:39,212748,1,questionnaire-zbzy,,44074110,shw1qwqd,12842434,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1280x800,1272x648,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,26-35,2,Male (including transgender male),1,"White - English, Welsh, Scottish, Northern Irish or British ",13,Yes,1,Clinical psychologist,1,,,,,5,Yes,1,Community,1,North East and Yorkshire,1,
1,1741882608562,13/03/2025 16:16:48,1741882608562,0,13/03/2025 16:16:48,212748,1,questionnaire-zbzy,,44380338,sv19ghcb,12933220,,live,,,mobile,Apple iPhone,iOS 17.7,Mobile Safari 17.7,390x844,390x663,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,36-45,3,Female (including transgender female),2,"Asian, Asian British or Asian Welsh - Bangladeshi",1,Yes,1,Nurse,11,,,,,14,Yes,1,Specialist,2,East of England,4,
1,1741883392720,13/03/2025 16:29:52,1741883392720,0,13/03/2025 16:29:52,212748,1,questionnaire-zbzy,,44380804,a8sqogw9,12933374,,live,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x800,1272x682,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,26-35,2,Female (including transgender female),2,Mixed or Multiple ethnic groups - White and Black Caribbean,11,Yes,1,No core profession,23,,assistant psychologist,,,4,No,2,,,East of England,4,
1,1741968272772,14/03/2025 16:04:32,1741968272772,0,14/03/2025 16:04:32,212748,1,questionnaire-zbzy,,44414241,he5xofu2,12943524,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,36-45,3,Female (including transgender female),2,"White - English, Welsh, Scottish, Northern Irish or British ",13,Yes,1,Trainee,21,,,trainee Clinical Associate Psychologist,"nearly finished, waiting for certificate, passed everything :)",n/a,Yes,1,Community,1,Midlands,3,
1,1742202884507,17/03/2025 09:14:44,1742202884507,0,17/03/2025 09:14:44,212748,1,questionnaire-zbzy,,44458349,mil1luoj,12955256,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1526x962,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,36-45,3,Female (including transgender female),2,"White - English, Welsh, Scottish, Northern Irish or British ",13,Yes,1,Cognitive Behavioural therapist (CBT therapist),17,,,,,3,Yes,1,Community,1,East of England,4,
1,1742292889895,18/03/2025 10:14:49,1742292889895,0,18/03/2025 10:14:49,212748,1,questionnaire-zbzy,,44493696,cuvbt400,12965454,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1366x768,1318x650,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,26-35,2,Female (including transgender female),2,"White - English, Welsh, Scottish, Northern Irish or British ",13,Yes,1,Other,22,Dietitian,,,,10,Yes,1,Specialist,2,East of England,4,
1,1742549409670,21/03/2025 09:30:09,1742549409670,0,21/03/2025 09:30:09,212748,1,questionnaire-zbzy,,44593230,1b7ygwwf,12995975,,live,,,mobile,undefined K,Android 10,Samsung Browser 27.0,384x660,384x660,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,36-45,3,Female (including transgender female),2,"Black, Black British, Black Welsh, Caribbean or African - African",6,Yes,1,Nurse,11,,,,,22 years working as a nurse internationally and 2 years working as a nurse in UK,Yes,1,Inpatient,3,East of England,4,
1,1744799908752,16/04/2025 10:38:28,1744803508752,1,16/04/2025 12:38:28,212748,1,questionnaire-zbzy,,45447523,bpjjp7dz,13207278,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,18-25,1,Female (including transgender female),2,"White - English, Welsh, Scottish, Northern Irish or British ",13,Yes,1,Trainee,21,,,Education Mental Health Practitioner,4 months,0,Yes,1,Specialist,2,South East,6,
1,1744800120469,16/04/2025 10:42:00,1744803720469,1,16/04/2025 12:42:00,212748,1,questionnaire-zbzy,,45447655,27cxv86i,13207333,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1536x864,1528x714,Completed prevalence - clicked onto thanks and debrief,,0,Demographic information,19,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,36-45,3,Female (including transgender female),2,"White - English, Welsh, Scottish, Northern Irish or British ",13,Yes,1,Clinical psychologist,1,,,,,9 years,Yes,1,Specialist,2,South East,6,
