Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,Current direct ax/tx BDD object-2 Response,Current direct ax/tx BDD object-2 Quantised,Current ax/tx BDD details object-29 Response,Current ax/tx BDD details object-29 Quantised,Frequency of BDD in current service object-3 Response,Frequency of BDD in current service object-3 Quantised,N BDD per year current service object-4 Response,N BDD per year current service object-4 Quantised,Previous direct ax/tx BDD object-21 Response,Previous direct ax/tx BDD object-21 Quantised,Prev ax/tx BDD details object-30 Response,Prev ax/tx BDD details object-30 Quantised,Guidelines for BDD object-15 Value,Protocols for BDD object-17 Value,Anything else to tell us object-19 Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"**In your current role, have you directly assessed or treated any children or adolescents with body dysmorphic disorder (BDD)?**","**In your current role, have you directly assessed or treated any children or adolescents with body dysmorphic disorder (BDD)?**","**In your current role, have you:**","**In your current role, have you:**","**On average, how often do you see children or adolescents with body dysmorphic disorder (BDD) in a year in your current service?**","**On average, how often do you see children or adolescents with body dysmorphic disorder (BDD) in a year in your current service?**","**How many children or adolescents with body dysmorphic disorder (BDD) do you see on average in a year in your current service? If you are unsure, please provide your best estimate based on your experience within the service.**","**How many children or adolescents with body dysmorphic disorder (BDD) do you see on average in a year in your current service? If you are unsure, please provide your best estimate based on your experience within the service.**","**If you have worked in other services, have you directly assessed or treated any children or adolescents with body dysmorphic disorder (BDD)?**","**If you have worked in other services, have you directly assessed or treated any children or adolescents with body dysmorphic disorder (BDD)?**","**In the other services you have worked in, have you:**","**In the other services you have worked in, have you:**",**Are there any guidelines that you are aware of for treating body dysmorphic disorder (BDD)?**,**Are there any manuals that you are aware of for treating body dysmorphic disorder (BDD)?**,"**Do you have anything else you would like to tell us about your experience of body dysmorphic disorder (BDD) in children and adolescents?** (if you do not wish to add anything, you can skip this question)"
1,1741166684883,05/03/2025 09:24:44,1741166684883,0,05/03/2025 09:24:44,212748,1,questionnaire-5n73,,44074356,shw1qwqd,12842434,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1280x800,1272x648,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,No,2,,,none,none,"Generally an unhlpeful diagnosis, entirely constructed around a presentation that can have multiple aetiologies and treatements and rarely presents without concurrent difficulties with mood and or anxiety. The questions presented in this study have a biomedical diagnostic slant and do not reflect the psychosocial formualtion based approaches in most CAMHS services. "
1,1741883303414,13/03/2025 16:28:23,1741883303414,0,13/03/2025 16:28:23,212748,1,questionnaire-5n73,,44380763,sv19ghcb,12933220,,live,,,mobile,Apple iPhone,iOS 17.7,Mobile Safari 17.7,390x844,390x663,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Less than once a year,5,0 to 5,1,Not applicable (I haven't worked in other services),4,,,cbt or systemic therapy ,no,
1,1741884051712,13/03/2025 16:40:51,1741884051712,0,13/03/2025 16:40:51,212748,1,questionnaire-5n73,,44381228,a8sqogw9,12933374,,live,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x800,1272x682,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,No,2,,,no,no,
1,1741969475352,14/03/2025 16:24:35,1741969475352,0,14/03/2025 16:24:35,212748,1,questionnaire-5n73,,44414985,he5xofu2,12943524,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,11 to 15,3,Not applicable (I haven't worked in other services),4,,,none,none,
1,1742203754417,17/03/2025 09:29:14,1742203754417,0,17/03/2025 09:29:14,212748,1,questionnaire-5n73,,44458598,mil1luoj,12955256,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1526x962,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,6 to 10,2,Unsure,3,,,No,No,Feel often mistaken for Social anxiety or eating disorder/diffculties. 
1,1742294201338,18/03/2025 10:36:41,1742294201338,0,18/03/2025 10:36:41,212748,1,questionnaire-5n73,,44494284,cuvbt400,12965454,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1366x768,1318x650,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 6-12 months,4,6 to 10,2,No,2,,,"CBT-BDD
",None,"I work in an eating disorder service and patients often have worries about body image or BDD seperate to weight and shape concerns, skin health is a very common one. I think partly social media can be unhelpful as it can give messages that flawless skin is to be expected when this is not reality. Also acne is a real concern for lots of adolescents, and if this is significant it shoudl be treated. "
1,1742553146204,21/03/2025 10:32:26,1742553146204,0,21/03/2025 10:32:26,212748,1,questionnaire-5n73,,44594839,1b7ygwwf,12995975,,live,,,mobile,undefined K,Android 10,Samsung Browser 27.0,384x660,384x660,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Unsure,7,0 to 5,1,Yes,1,Both assessed and treated BDD,3,no,no,
1,1744800786492,16/04/2025 10:53:06,1744804386492,1,16/04/2025 12:53:06,212748,1,questionnaire-5n73,,45448098,917qryqq,13207394,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,51 to 65,7,Not applicable (I haven't worked in other services),4,,,none,none,
1,1744800985779,16/04/2025 10:56:25,1744804585779,1,16/04/2025 12:56:25,212748,1,questionnaire-5n73,,45448209,bpjjp7dz,13207278,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,none,none,none
