Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,OCD Training object-2 Response,OCD Training object-2 Quantised,OCD training details object-3 Response,OCD training details object-3 Quantised,BDD Training object-4 Response,BDD Training object-4 Quantised,BDD training details object-13 Response,BDD training details object-13 Quantised
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"**During your qualification training, did you receive training in Obsessive-compulsive disorder (OCD)?**","**During your qualification training, did you receive training in Obsessive-compulsive disorder (OCD)?**","**Did the training on OCD cover:** 
","**Did the training on OCD cover:** 
","**During your qualification training, did you receive training in Body dysmorphic disorder (BDD)?**","**During your qualification training, did you receive training in Body dysmorphic disorder (BDD)?**","**Did the training on BDD cover:** 

","**Did the training on BDD cover:** 

"
1,1741166912664,05/03/2025 09:28:32,1741166912664,0,05/03/2025 09:28:32,212748,1,questionnaire-ero5,,44074453,shw1qwqd,12842434,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1280x800,1272x648,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,Yes,1,Both the diagnosis and treatment of BDD,3
1,1741883404773,13/03/2025 16:30:04,1741883404773,0,13/03/2025 16:30:04,212748,1,questionnaire-ero5,,44380809,sv19ghcb,12933220,,live,,,mobile,Apple iPhone,iOS 17.7,Mobile Safari 17.7,390x844,390x663,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1741884115907,13/03/2025 16:41:55,1741884115907,0,13/03/2025 16:41:55,212748,1,questionnaire-ero5,,44381284,a8sqogw9,12933374,,live,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x800,1272x682,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1741969552910,14/03/2025 16:25:52,1741969552910,0,14/03/2025 16:25:52,212748,1,questionnaire-ero5,,44415070,he5xofu2,12943524,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1742203846927,17/03/2025 09:30:46,1742203846927,0,17/03/2025 09:30:46,212748,1,questionnaire-ero5,,44458640,mil1luoj,12955256,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1526x962,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1742294633945,18/03/2025 10:43:53,1742294633945,0,18/03/2025 10:43:53,212748,1,questionnaire-ero5,,44494444,cuvbt400,12965454,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1366x768,1318x650,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1742553304027,21/03/2025 10:35:04,1742553304027,0,21/03/2025 10:35:04,212748,1,questionnaire-ero5,,44594916,1b7ygwwf,12995975,,live,,,mobile,undefined K,Android 10,Samsung Browser 27.0,384x660,384x660,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,Yes,1,Both the diagnosis and treatment of BDD,3
1,1744800820854,16/04/2025 10:53:40,1744804420854,1,16/04/2025 12:53:40,212748,1,questionnaire-ero5,,45448110,917qryqq,13207394,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1744801071006,16/04/2025 10:57:51,1744804671006,1,16/04/2025 12:57:51,212748,1,questionnaire-ero5,,45448239,bpjjp7dz,13207278,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
