"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions...d..I.do.not.currently.take.or.have.a.history.of.taking.any.psychotropic.medications..I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1688987619142,"10/07/2023 11:13:39",1688973219142,-4,"10/07/2023 03:13:39",137495,33,"questionnaire-ledw",NA,30590942,9082638,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x1024","1280x881",NA,NA,NA,"Consent",8,"Anxious",321,"In","",1,"FGEHDICJBKA","","","A (JV first)",NA,NA,"1","1","1","1","1","1","1","1","1","1","1","SUPTM12782"
"1",1689000253540,"10/07/2023 14:44:13",1689003853540,1,"10/07/2023 16:44:13",137495,33,"questionnaire-ledw",NA,30598006,9084892,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x760",NA,NA,NA,"Consent",8,"NonAnxious",NA,"In","A",NA,"ABKCJDIEHFG","A","","",NA,NA,"1","1","1","1","1","1","1","1","1","1","1","SUPTM15998"
"1",1689004427043,"10/07/2023 15:53:47",1689008027043,1,"10/07/2023 17:53:47",137495,33,"questionnaire-ledw",NA,30599653,9085468,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1707x759",NA,NA,NA,"Consent",8,"Anxious",NA,"In","",NA,"CDBEAFKGJHI","","","B (MDot First)",2,213,"1","1","1","1","1","1","1","1","1","1","1","SUPTM50909"
"1",1689005050535,"10/07/2023 16:04:10",1689008650535,1,"10/07/2023 18:04:10",137495,33,"questionnaire-ledw",NA,30599796,9085500,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 115.0","1920x1080","958x954",NA,NA,NA,"Consent",8,"Anxious",NA,"In","",NA,"DECFBGAHKIJ","","","B (MDot First)",1,231,"1","1","1","1","1","1","1","1","1","1","1","SUPTM05151"
"1",1689009040938,"10/07/2023 17:10:40",1689012640938,1,"10/07/2023 19:10:40",137495,33,"questionnaire-ledw",NA,30600782,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"Consent",8,"Anxious",NA,"In","",NA,"EFDGCHBIAJK","","","B (MDot First)",2,123,"1","1","1","1","1","1","1","1","1","1","1","SUPTM31721"
"1",1689009914935,"10/07/2023 17:25:14",1689013514935,1,"10/07/2023 19:25:14",137495,33,"questionnaire-ledw",NA,30601082,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Consent",8,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A","","",NA,NA,"1","1","1","1","1","1","1","1","1","1","1","SUPTM34679"
"1",1689022183371,"10/07/2023 20:49:43",1689025783371,1,"10/07/2023 22:49:43",137495,33,"questionnaire-ledw",NA,30603784,9086484,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.67","1536x864","664x690",NA,NA,NA,"Consent",8,"Anxious",NA,"In","",NA,"HIGJFKEADBC","","","B (MDot First)",2,321,"1","1","1","1","1","1","1","1","1","1","1","SUPTM16544"
"1",1688997612417,"10/07/2023 14:00:12",1688983212417,-4,"10/07/2023 06:00:12",137495,33,"questionnaire-ledw",NA,30595808,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"Consent",8,"Anxious",NA,"In","",NA,"IJHKGAFBECD","","","B (MDot First)",1,231,"1","1","1","1","1","1","1","1","1","1","1","SUPTM96648"
"1",1688992752593,"10/07/2023 12:39:12",1688978352593,-4,"10/07/2023 04:39:12",137495,33,"questionnaire-ledw",NA,30593267,9083342,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1920x1080","1920x927",NA,NA,NA,"Consent",8,"NonAnxious",NA,"In","",NA,"HIGJFKEADBC","B","B","",NA,NA,"1","1","1","1","1","1","1","1","1","1","1","SUPTM14619"
"1",1688986693421,"10/07/2023 10:58:13",1688972293421,-4,"10/07/2023 02:58:13",137495,33,"questionnaire-ledw",NA,30590581,9082545,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 113.0.0.0","1920x1080","1920x969",NA,NA,NA,"Consent",8,"Anxious",NA,"In","",NA,"EFDGCHBIAJK","","","B (MDot First)",1,123,"1","1","1","1","1","1","1","1","1","1","1","SUPTM14738"
"1",1688984736360,"10/07/2023 10:25:36",1688988336360,1,"10/07/2023 12:25:36",137495,33,"questionnaire-ledw",NA,30589851,9082357,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x657",NA,NA,NA,"Consent",8,"NonAnxious",NA,"In","",NA,"BCADKEJFIGH","B","B","",NA,NA,"1","1","1","1","1","1","1","1","1","1","1","SUPTM45532"
"1",1689016753266,"10/07/2023 19:19:13",1689020353266,1,"10/07/2023 21:19:13",137495,33,"questionnaire-ledw",NA,30602642,9086165,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1041x586","1157x494",NA,NA,NA,"Consent",8,"Anxious",NA,"In","",NA,"GHFIEJDKCAB","","","B (MDot First)",1,213,"1","1","1","1","1","1","1","1","1","1","1","SUPTM84507"
