Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-ot79,branch-g31k,branch-5gtn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1695838520708,27/09/2023 18:15:20,1695824120708,-4,27/09/2023 10:15:20,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1695838526454,27/09/2023 18:15:26,1695824126454,-4,27/09/2023 10:15:26,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 1,9dh6eq,1,continue,,5759.736000000002,5743.070000000001,5759.736000000002,5759.736000000002,5743.070000000001,5759.736000000002,1,5759.736000000002,0,0,,Click To Continue,Continue Button,23,object-48,BIQ,
3,1695838526456,27/09/2023 18:15:26,1695824126456,-4,27/09/2023 10:15:26,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 1,9dh6eq,1,response,3,1583.3770000000004,5743.070000000001,5759.736000000002,1583.3770000000004,5743.070000000001,5759.736000000002,1,1583.3770000000004,4176.359000000001,0,,Rating Scale,Rating Scale,3,object-5,BIQ,
4,1695838526456,27/09/2023 18:15:26,1695824126456,-4,27/09/2023 10:15:26,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 1,9dh6eq,1,response,5,2274.7920000000004,5743.070000000001,5759.736000000002,2274.7920000000004,5743.070000000001,5759.736000000002,1,2274.7920000000004,3484.9440000000013,0,,Rating Scale,Rating Scale,10,object-18,BIQ,
5,1695838526457,27/09/2023 18:15:26,1695824126457,-4,27/09/2023 10:15:26,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 1,9dh6eq,1,response,4,2926.1320000000005,5743.070000000001,5759.736000000002,2926.1320000000005,5743.070000000001,5759.736000000002,1,2926.1320000000005,2833.604000000001,0,,Rating Scale,Rating Scale,17,object-80,BIQ,
6,1695838529661,27/09/2023 18:15:29,1695824129661,-4,27/09/2023 10:15:29,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 2,o21mwi,2,continue,,3234.454999904632,3223.785,3234.454999904632,3234.454999904632,3223.785,3234.454999904632,1,3234.454999904632,0,0,,Click To Continue,Continue Button,22,object-50,BIQ,
7,1695838529662,27/09/2023 18:15:29,1695824129662,-4,27/09/2023 10:15:29,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 2,o21mwi,2,response,5,1669.0439999999999,3223.785,3235.154999952316,1669.0439999999999,3223.785,3235.154999952316,1,1669.0439999999999,1566.110999952316,0,,Rating Scale,Rating Scale,2,object-259,BIQ,
8,1695838529662,27/09/2023 18:15:29,1695824129662,-4,27/09/2023 10:15:29,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 2,o21mwi,2,response,5,2172.1890000000003,3223.785,3235.5549998092647,2172.1890000000003,3223.785,3235.5549998092647,1,2172.1890000000003,1063.3659998092644,0,,Rating Scale,Rating Scale,9,object-36,BIQ,
9,1695838529662,27/09/2023 18:15:29,1695824129662,-4,27/09/2023 10:15:29,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 2,o21mwi,2,response,4,2682.3599999999988,3223.785,3235.954999904632,2682.3599999999988,3223.785,3235.954999904632,1,2682.3599999999988,553.5949999046334,0,,Rating Scale,Rating Scale,16,object-86,BIQ,
10,1695838532885,27/09/2023 18:15:32,1695824132885,-4,27/09/2023 10:15:32,144636,5,task-gjqt,,31905026,A2YQ0JFI4X7173,9434076,,complete,lqhvtm,3T111IHZ5KPKFV2VC6YM36UW6JF9RV,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1364x768,1364x619,,,0,BIQ (Charlotte),3,ABJCIDHEGF,Passed AC2,,Spreadsheet1,1,BIQ,Screen 3,iz3the,3,continue,,3234.5699999999997,3231.786,3234.5699999999997,3234.5699999999997,3231.786,3234.5699999999997,1,3234.5699999999997,0,0,,Click To Continue,Continue Button,22,object-73,BIQ,
