id,item_0,item_1,choice,winner,rt,order,null_resp
10211,1,2,0.0,1.0,195.0,46.0,0
10211,1,3,0.0,1.0,150.0,29.0,0
10211,1,4,0.0,1.0,293.0,48.0,0
10211,1,5,0.0,1.0,273.0,74.0,0
10211,1,6,0.0,1.0,322.0,34.0,0
10211,1,7,0.0,1.0,281.0,52.0,0
10211,1,8,1.0,8.0,249.0,61.0,0
10211,1,9,1.0,9.0,283.0,90.0,0
10211,1,10,0.0,1.0,237.0,55.0,0
10211,1,11,0.0,1.0,143.0,41.0,0
10211,1,12,0.0,1.0,309.0,27.0,0
10211,1,13,1.0,13.0,219.0,91.0,0
10211,1,14,0.0,1.0,244.0,64.0,0
10211,2,3,0.0,2.0,1834.0,12.0,0
10211,2,4,1.0,4.0,239.0,77.0,0
10211,2,5,1.0,5.0,272.0,49.0,0
10211,2,6,0.0,2.0,2961.0,11.0,0
10211,2,7,1.0,7.0,2814.0,4.0,0
10211,2,8,0.0,2.0,1441.0,18.0,0
10211,2,9,1.0,9.0,293.0,44.0,0
10211,2,10,0.0,2.0,225.0,84.0,0
10211,2,11,1.0,11.0,2611.0,16.0,0
10211,2,12,0.0,2.0,5454.0,1.0,0
10211,2,13,0.0,2.0,3495.0,10.0,0
10211,2,14,0.0,2.0,275.0,45.0,0
10211,3,4,1.0,4.0,134.0,66.0,0
10211,3,5,0.0,3.0,273.0,21.0,0
10211,3,6,0.0,3.0,249.0,88.0,0
10211,3,7,1.0,7.0,135.0,58.0,0
10211,3,8,0.0,3.0,6075.0,14.0,0
10211,3,9,1.0,9.0,281.0,20.0,0
10211,3,10,0.0,3.0,279.0,53.0,0
10211,3,11,0.0,3.0,123.0,85.0,0
10211,3,12,1.0,12.0,260.0,59.0,0
10211,3,13,0.0,3.0,414.0,35.0,0
10211,3,14,1.0,14.0,293.0,22.0,0
10211,4,5,0.0,4.0,215.0,78.0,0
10211,4,6,0.0,4.0,253.0,83.0,0
10211,4,7,0.0,4.0,261.0,76.0,0
10211,4,8,1.0,8.0,82453.0,2.0,0
10211,4,9,1.0,9.0,271.0,23.0,0
10211,4,10,1.0,10.0,266.0,26.0,0
10211,4,11,0.0,4.0,275.0,51.0,0
10211,4,12,0.0,4.0,131.0,47.0,0
10211,4,13,0.0,4.0,296.0,39.0,0
10211,4,14,1.0,14.0,257.0,37.0,0
10211,5,6,1.0,6.0,146.0,68.0,0
10211,5,7,0.0,5.0,347.0,19.0,0
10211,5,8,1.0,8.0,506.0,60.0,0
10211,5,9,1.0,9.0,461.0,54.0,0
10211,5,10,0.0,5.0,272.0,38.0,0
10211,5,11,0.0,5.0,39565.0,3.0,0
10211,5,12,1.0,12.0,159.0,73.0,0
10211,5,13,1.0,13.0,6333.0,13.0,0
10211,5,14,1.0,14.0,169.0,33.0,0
10211,6,7,0.0,6.0,155.0,57.0,0
10211,6,8,0.0,6.0,157.0,56.0,0
10211,6,9,1.0,9.0,265.0,81.0,0
10211,6,10,1.0,10.0,305.0,75.0,0
10211,6,11,0.0,6.0,167.0,65.0,0
10211,6,12,0.0,6.0,317.0,89.0,0
10211,6,13,1.0,13.0,3356.0,7.0,0
10211,6,14,0.0,6.0,252.0,80.0,0
10211,7,8,0.0,7.0,135.0,79.0,0
10211,7,9,1.0,9.0,146.0,40.0,0
10211,7,10,0.0,7.0,295.0,50.0,0
10211,7,11,0.0,7.0,274.0,69.0,0
10211,7,12,1.0,12.0,273.0,25.0,0
10211,7,13,0.0,7.0,3333.0,17.0,0
10211,7,14,0.0,7.0,32151.0,15.0,0
10211,8,9,0.0,8.0,282.0,62.0,0
10211,8,10,1.0,10.0,289.0,43.0,0
10211,8,11,0.0,8.0,184.0,72.0,0
10211,8,12,0.0,8.0,267.0,30.0,0
10211,8,13,0.0,8.0,228.0,28.0,0
10211,8,14,1.0,14.0,266.0,31.0,0
10211,9,10,1.0,10.0,300.0,32.0,0
10211,9,11,0.0,9.0,160.0,67.0,0
10211,9,12,0.0,9.0,300.0,42.0,0
10211,9,13,1.0,13.0,255.0,24.0,0
10211,9,14,0.0,9.0,294.0,87.0,0
10211,10,11,1.0,11.0,3215.0,8.0,0
10211,10,12,0.0,10.0,266.0,70.0,0
10211,10,13,1.0,13.0,247.0,63.0,0
10211,10,14,1.0,14.0,7448.0,5.0,0
10211,11,12,0.0,11.0,4238.0,6.0,0
10211,11,13,0.0,11.0,10531.0,9.0,0
10211,11,14,1.0,14.0,268.0,71.0,0
10211,12,13,1.0,13.0,505.0,86.0,0
10211,12,14,1.0,14.0,251.0,82.0,0
10211,13,14,1.0,14.0,303.0,36.0,0
10213,1,2,1.0,2.0,3706.0,16.0,0
10213,1,3,0.0,1.0,3296.0,29.0,0
10213,1,4,1.0,4.0,4781.0,11.0,0
10213,1,5,0.0,1.0,2864.0,76.0,0
10213,1,6,0.0,1.0,2952.0,10.0,0
10213,1,7,1.0,7.0,3927.0,13.0,0
10213,1,8,1.0,8.0,2530.0,24.0,0
10213,1,9,1.0,9.0,2269.0,90.0,0
10213,1,10,0.0,1.0,5686.0,12.0,0
10213,1,11,1.0,11.0,2864.0,17.0,0
10213,1,12,0.0,1.0,2373.0,79.0,0
10213,1,13,0.0,1.0,4728.0,70.0,0
10213,1,14,1.0,14.0,5121.0,6.0,0
10213,2,3,0.0,2.0,2846.0,68.0,0
10213,2,4,0.0,2.0,3103.0,34.0,0
10213,2,5,0.0,2.0,5699.0,2.0,0
10213,2,6,0.0,2.0,5716.0,42.0,0
10213,2,7,1.0,7.0,3592.0,60.0,0
10213,2,8,1.0,8.0,1998.0,82.0,0
10213,2,9,1.0,9.0,16477.0,80.0,0
10213,2,10,0.0,2.0,2756.0,69.0,0
10213,2,11,0.0,2.0,4653.0,59.0,0
10213,2,12,0.0,2.0,1893.0,52.0,0
10213,2,13,0.0,2.0,3208.0,91.0,0
10213,2,14,0.0,2.0,2282.0,58.0,0
10213,3,4,1.0,4.0,6571.0,7.0,0
10213,3,5,1.0,5.0,9577.0,31.0,0
10213,3,6,0.0,3.0,4618.0,32.0,0
10213,3,7,1.0,7.0,2413.0,25.0,0
10213,3,8,1.0,8.0,3994.0,1.0,0
10213,3,9,1.0,9.0,8530.0,4.0,0
10213,3,10,1.0,10.0,6782.0,19.0,0
10213,3,11,1.0,11.0,2465.0,14.0,0
10213,3,12,0.0,3.0,4507.0,51.0,0
10213,3,13,0.0,3.0,3793.0,83.0,0
10213,3,14,1.0,14.0,2332.0,78.0,0
10213,4,5,0.0,4.0,1902.0,75.0,0
10213,4,6,0.0,4.0,21560.0,74.0,0
10213,4,7,1.0,7.0,2708.0,61.0,0
10213,4,8,1.0,8.0,4953.0,21.0,0
10213,4,9,0.0,4.0,5182.0,33.0,0
10213,4,10,0.0,4.0,4408.0,48.0,0
10213,4,11,1.0,11.0,4388.0,46.0,0
10213,4,12,0.0,4.0,2199.0,62.0,0
10213,4,13,0.0,4.0,8024.0,64.0,0
10213,4,14,0.0,4.0,5362.0,72.0,0
10213,5,6,1.0,6.0,8508.0,56.0,0
10213,5,7,1.0,7.0,1869.0,54.0,0
10213,5,8,1.0,8.0,2995.0,71.0,0
10213,5,9,1.0,9.0,1610.0,86.0,0
10213,5,10,1.0,10.0,5859.0,39.0,0
10213,5,11,1.0,11.0,6191.0,43.0,0
10213,5,12,0.0,5.0,5628.0,41.0,0
10213,5,13,0.0,5.0,10329.0,3.0,0
10213,5,14,1.0,14.0,15391.0,57.0,0
10213,6,7,1.0,7.0,2648.0,38.0,0
10213,6,8,1.0,8.0,3012.0,20.0,0
10213,6,9,1.0,9.0,4231.0,77.0,0
10213,6,10,1.0,10.0,5008.0,63.0,0
10213,6,11,1.0,11.0,3740.0,81.0,0
10213,6,12,0.0,6.0,3043.0,66.0,0
10213,6,13,0.0,6.0,16158.0,36.0,0
10213,6,14,0.0,6.0,3430.0,67.0,0
10213,7,8,1.0,8.0,3638.0,89.0,0
