id,item_id,item,view_response,choice_text,view_rt,null_resp
10245,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",3442.0,0
10245,1,Depression,2.0,Depression is the absence of emotions,5930.0,0
10246,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",3746.0,0
10246,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,9395.0,0
10247,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",7500.0,0
10247,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,13233.0,0
10248,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",6168.0,0
10248,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,6999.0,0
10249,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",3743.0,0
10249,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6495.0,0
10251,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",4309.0,0
10251,1,Depression,2.0,Depression is the absence of emotions,11591.0,0
10254,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7585.0,0
10254,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,4881.0,0
10256,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",4653.0,0
10256,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6998.0,0
10257,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",30642.0,0
10257,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,18264.0,0
10258,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7613.0,0
10258,1,Depression,2.0,Depression is the absence of emotions,8414.0,0
10259,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",8993.0,0
10259,1,Depression,2.0,Depression is the absence of emotions,10191.0,0
10262,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7968.0,0
10262,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,3222.0,0
10264,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",17582.0,0
10264,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,9484.0,0
10266,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",10952.0,0
10266,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,22581.0,0
10267,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",6839.0,0
10267,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,5278.0,0
10268,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",18616.0,0
10268,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8296.0,0
10273,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",6165.0,0
10273,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,16152.0,0
10274,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",3122.0,0
10274,1,Depression,2.0,Depression is the absence of emotions,2908.0,0
10275,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",17255.0,0
10275,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,21247.0,0
10278,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",16303.0,0
10278,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,19933.0,0
10280,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",5870.0,0
10280,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6351.0,0
10319,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",6796.0,0
10319,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,29688.0,0
10320,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",9487.0,0
10320,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,7990.0,0
10321,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",16560.0,0
10321,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,12480.0,0
10322,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",20484.0,0
10322,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,15895.0,0
10323,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",12013.0,0
10323,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,12648.0,0
10324,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",20328.0,0
10324,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,12571.0,0
10325,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",6856.0,0
10325,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,9810.0,0
10326,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",12095.0,0
10326,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,11447.0,0
10327,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",11363.0,0
10327,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6910.0,0
10328,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7543.0,0
10328,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8175.0,0
10329,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",2127.0,0
10329,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8456.0,0
10330,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",14754.0,0
10330,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,23827.0,0
10331,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",6292.0,0
10331,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,12209.0,0
10332,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",7834.0,0
10332,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,15949.0,0
10333,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",4493.0,0
10333,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,1119.0,0
10334,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",13331.0,0
10334,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,5718.0,0
10335,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",9707.0,0
10335,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,14406.0,0
10336,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",21844.0,0
10336,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,12944.0,0
10337,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",172707.0,0
10337,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8361.0,0
10338,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",1266.0,0
10338,1,Depression,2.0,Depression is the absence of emotions,5969.0,0
10339,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7527.0,0
10339,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8720.0,0
10340,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",6761.0,0
10340,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,8375.0,0
10341,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",4678.0,0
10341,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,821.0,0
10342,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",9193.0,0
10342,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8173.0,0
10343,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",4541.0,0
10343,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,10901.0,0
10344,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",23551.0,0
10344,1,Depression,2.0,Depression is the absence of emotions,23920.0,0
10345,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",5293.0,0
10345,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,4132.0,0
10346,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",6447.0,0
10346,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,7852.0,0
10347,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",13854.0,0
10347,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,11162.0,0
10348,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",11769.0,0
