"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1699290596194,"06/11/2023 17:09:56",1699290596194,0,"06/11/2023 17:09:56",150440,6,"questionnaire-xamc",NA,32747302,9689456,NA,"complete",NA,"65491d352516b994de3f9e6b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1","2","SUPPRF31306"
"1",1699291261967,"06/11/2023 17:21:01",1699291261967,0,"06/11/2023 17:21:01",150440,6,"questionnaire-xamc",NA,32747727,9689563,NA,"complete",NA,"65491fe7bf070a5a4f1860e2","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x642",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPPRF86350"
"1",1699291455369,"06/11/2023 17:24:15",1699291455369,0,"06/11/2023 17:24:15",150440,6,"questionnaire-xamc",NA,32747832,9689627,NA,"complete",NA,"654920b672f8f0b8d9219fd2","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1440x960","1392x834",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1","2","SUPPRF93485"
"1",1699291564218,"06/11/2023 17:26:04",1699291564218,0,"06/11/2023 17:26:04",150440,6,"questionnaire-xamc",NA,32747912,9689646,NA,"complete",NA,"654921342516b994de3f9f0e","tablet","Apple iPad","iOS 16.5","Chrome 116.0.5845.177","810x1080","810x965",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1","2","SUPPRF70813"
"1",1699291615080,"06/11/2023 17:26:55",1699291615080,0,"06/11/2023 17:26:55",150440,6,"questionnaire-xamc",NA,32747946,9689663,NA,"complete",NA,"654921b4e5e583cfb88fe018","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPPRF66344"
"1",1699291655750,"06/11/2023 17:27:35",1699291655750,0,"06/11/2023 17:27:35",150440,6,"questionnaire-xamc",NA,32747976,9689668,NA,"complete",NA,"65492106b22f0178f57b0066","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x732",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","1","2","SUPPRF60832"
"1",1699291661237,"06/11/2023 17:27:41",1699291661237,0,"06/11/2023 17:27:41",150440,6,"questionnaire-xamc",NA,32747985,9689654,NA,"complete",NA,"6549218ea2301d20c2c9e1ff","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPPRF86378"
"1",1699291895760,"06/11/2023 17:31:35",1699291895760,0,"06/11/2023 17:31:35",150440,6,"questionnaire-xamc",NA,32748232,9689703,NA,"complete",NA,"6549212338759131b91a7191","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.1.2","1440x900","1440x837",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPPRF79935"
"1",1699292049257,"06/11/2023 17:34:09",1699292049257,0,"06/11/2023 17:34:09",150440,6,"questionnaire-xamc",NA,32748377,9689725,NA,"complete",NA,"6549235a90dc221dcf738816","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1922x1002",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1","2","SUPPRF35697"
"1",1699292129927,"06/11/2023 17:35:29",1699292129927,0,"06/11/2023 17:35:29",150440,6,"questionnaire-xamc",NA,32748456,9689740,NA,"complete",NA,"6549238893c8ae4ef7a1fcaf","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x720",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1","2","SUPPRF68142"
"1",1699292292717,"06/11/2023 17:38:12",1699292292717,0,"06/11/2023 17:38:12",150440,6,"questionnaire-xamc",NA,32748549,9689753,NA,"complete",NA,"654921a01b51558a50a1fe5a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1536x739",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPPRF88148"
"1",1699292354927,"06/11/2023 17:39:14",1699292354927,0,"06/11/2023 17:39:14",150440,6,"questionnaire-xamc",NA,32748586,9689775,NA,"complete",NA,"6549244aa62da2216068a2f5","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1920x1080","1280x641",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","1","2","SUPPRF85297"
"1",1699292441652,"06/11/2023 17:40:41",1699292441652,0,"06/11/2023 17:40:41",150440,6,"questionnaire-xamc",NA,32748634,9689786,NA,"complete",NA,"654924af72f8f0b8d921a095","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPPRF06342"
"1",1699292446244,"06/11/2023 17:40:46",1699292446244,0,"06/11/2023 17:40:46",150440,6,"questionnaire-xamc",NA,32748642,9689795,NA,"complete",NA,"654924ca687b1ab50f984f2f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","3440x1440","3440x1329",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","1","2","SUPPRF95341"
"1",1699292461426,"06/11/2023 17:41:01",1699292461426,0,"06/11/2023 17:41:01",150440,6,"questionnaire-xamc",NA,32748656,9689800,NA,"complete",NA,"654924ffa16c51a71e738924","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1280x800","1280x715",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPPRF85444"
"1",1699292498210,"06/11/2023 17:41:38",1699292498210,0,"06/11/2023 17:41:38",150440,6,"questionnaire-xamc",NA,32748677,9689807,NA,"complete",NA,"654925209fa4ccfd758876ef","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1925x1065","1920x1061",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1","2","SUPPRF10856"
"1",1699292535910,"06/11/2023 17:42:15",1699292535910,0,"06/11/2023 17:42:15",150440,6,"questionnaire-xamc",NA,32748697,9689813,NA,"complete",NA,"654924be341a89c8ee0f18d8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPPRF99152"
"1",1699292578241,"06/11/2023 17:42:58",1699292578241,0,"06/11/2023 17:42:58",150440,6,"questionnaire-xamc",NA,32748724,9689803,NA,"complete",NA,"6549250ba9997caa12c9d794","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x739",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1","2","SUPPRF24628"
"1",1699292608522,"06/11/2023 17:43:28",1699292608522,0,"06/11/2023 17:43:28",150440,6,"questionnaire-xamc",NA,32748755,9689737,NA,"complete",NA,"6549233dade4fb4950ad28ec","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.76","1920x1080","1856x949",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPPRF37035"
"1",1699292648392,"06/11/2023 17:44:08",1699274648392,-5,"06/11/2023 07:44:08",150440,6,"questionnaire-xamc",NA,32748784,9689820,NA,"complete",NA,"6549257ddccdea07d4ac5729","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.0","820x1180","1180x678",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1","2","SUPPRF73117"
