Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,Current direct ax/tx BDD object-2 Response,Current direct ax/tx BDD object-2 Quantised,Current ax/tx BDD details object-29 Response,Current ax/tx BDD details object-29 Quantised,Frequency of BDD in current service object-3 Response,Frequency of BDD in current service object-3 Quantised,N BDD per year current service object-4 Response,N BDD per year current service object-4 Quantised,Previous direct ax/tx BDD object-21 Response,Previous direct ax/tx BDD object-21 Quantised,Prev ax/tx BDD details object-30 Response,Prev ax/tx BDD details object-30 Quantised,Guidelines for BDD object-15 Value,Protocols for BDD object-17 Value,Anything else to tell us object-19 Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"**In your current role, have you directly assessed or treated any children or adolescents with body dysmorphic disorder (BDD)?**","**In your current role, have you directly assessed or treated any children or adolescents with body dysmorphic disorder (BDD)?**","**In your current role, have you:**","**In your current role, have you:**","**On average, how often do you see children or adolescents with body dysmorphic disorder (BDD) in a year in your current service?**","**On average, how often do you see children or adolescents with body dysmorphic disorder (BDD) in a year in your current service?**","**How many children or adolescents with body dysmorphic disorder (BDD) do you see on average in a year in your current service? If you are unsure, please provide your best estimate based on your experience within the service.**","**How many children or adolescents with body dysmorphic disorder (BDD) do you see on average in a year in your current service? If you are unsure, please provide your best estimate based on your experience within the service.**","**If you have worked in other services, have you directly assessed or treated any children or adolescents with body dysmorphic disorder (BDD)?**","**If you have worked in other services, have you directly assessed or treated any children or adolescents with body dysmorphic disorder (BDD)?**","**In the other services you have worked in, have you:**","**In the other services you have worked in, have you:**",**Are there any guidelines that you are aware of for treating body dysmorphic disorder (BDD)?**,**Are there any manuals that you are aware of for treating body dysmorphic disorder (BDD)?**,"**Do you have anything else you would like to tell us about your experience of body dysmorphic disorder (BDD) in children and adolescents?** (if you do not wish to add anything, you can skip this question)"
1,1747388750218,16/05/2025 09:45:50,1747392350218,1,16/05/2025 11:45:50,212748,2,questionnaire-5n73,,46238916,pqunf92u,13437190,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1536x864,1528x704,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,26 to 35,5,No,2,,,No,No,No experience
1,1747392242371,16/05/2025 10:44:02,1747395842371,1,16/05/2025 12:44:02,212748,2,questionnaire-5n73,,46240888,x3abz8ug,13437408,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Every month,2,0 to 5,1,Not applicable (I haven't worked in other services),4,,,NICE guidance for treatment of OCD and BDD,No (similar to OCD treatment),In my experience it was connected with neurodivergence and experiencing of own body as uncomfortable and disgusting. The process of formulation and supporting the young person to see themselves through the lens of neurodiversity was sufficient for them to develop a different relationship with their body. 
1,1747661653773,19/05/2025 13:34:13,1747665253773,1,19/05/2025 15:34:13,212748,2,questionnaire-5n73,,46306803,wt0mtr4k,13455576,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,None,None,"I work with young people who have a moderate to severe learning disability, so I would be interested to understand how BDD may present in this demographic. "
1,1747819688779,21/05/2025 09:28:08,1747823288779,1,21/05/2025 11:28:08,212748,2,questionnaire-5n73,,46362974,1yvfe5tm,13469879,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1200,1487x1032,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,26 to 35,5,No,2,,,"CBT, including ERP",No,
1,1747910242782,22/05/2025 10:37:22,1747913842782,1,22/05/2025 12:37:22,212748,2,questionnaire-5n73,,46391467,gfbcbqvn,13477172,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,11 to 15,3,Not applicable (I haven't worked in other services),4,,,None,None,None
1,1748333544430,27/05/2025 08:12:24,1748337144430,1,27/05/2025 10:12:24,212748,2,questionnaire-5n73,,46537554,4kwyvpof,13510271,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,11 to 15,3,No,2,,,None,None,
1,1748339687436,27/05/2025 09:54:47,1748343287436,1,27/05/2025 11:54:47,212748,2,questionnaire-5n73,,46542563,s2b9t8f7,13511075,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x1024,1272x872,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,6 to 10,2,Not applicable (I haven't worked in other services),4,,,this is an area of work i have identified as needing more training in ,"again, this is something i would like to know more about, so i should seek out manuals",
1,1748340219644,27/05/2025 10:03:39,1748343819644,1,27/05/2025 12:03:39,212748,2,questionnaire-5n73,,46543046,r2dayoto,13511134,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x1024,1272x872,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,Not applicable (I haven't worked in other services),4,,,I would be using NICE guidelines to consider best treatments.,None,
1,1748352668622,27/05/2025 13:31:08,1748356268622,1,27/05/2025 15:31:08,212748,2,questionnaire-5n73,,46553878,jp0fc554,13513497,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,16 to 25,4,No,2,,,no, no,
