Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,Prevalence ranking object-2 Generalised anxiety disorder (GAD),Prevalence ranking object-2 Obsessive compulsive disorder (OCD) ,Prevalence ranking object-2 Specific phobia,Prevalence ranking object-2 Social phobia/social anxiety disorder,Prevalence ranking object-2 Panic disorder,Prevalence ranking object-2 Post-traumatic stress disorder (PTSD),Prevalence ranking object-2 Body dysmorphic disorder (BDD),Prevalence ranking object-2 Major depressive disorder (depression)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thank you for taking the time to complete this study so far. This is the final question in the survey. Please answer to the best of your knowledge.
<br><br>
**Below is a list of common emotional disorders in children and adolescents. Please rank the disorders from those you understand to be most (top) to least (bottom) prevalent in children and adolescents (aged 5-19 years).** *To rank the disorders, click and drag each option to move into place.*","Thank you for taking the time to complete this study so far. This is the final question in the survey. Please answer to the best of your knowledge.
<br><br>
**Below is a list of common emotional disorders in children and adolescents. Please rank the disorders from those you understand to be most (top) to least (bottom) prevalent in children and adolescents (aged 5-19 years).** *To rank the disorders, click and drag each option to move into place.*","Thank you for taking the time to complete this study so far. This is the final question in the survey. Please answer to the best of your knowledge.
<br><br>
**Below is a list of common emotional disorders in children and adolescents. Please rank the disorders from those you understand to be most (top) to least (bottom) prevalent in children and adolescents (aged 5-19 years).** *To rank the disorders, click and drag each option to move into place.*","Thank you for taking the time to complete this study so far. This is the final question in the survey. Please answer to the best of your knowledge.
<br><br>
**Below is a list of common emotional disorders in children and adolescents. Please rank the disorders from those you understand to be most (top) to least (bottom) prevalent in children and adolescents (aged 5-19 years).** *To rank the disorders, click and drag each option to move into place.*","Thank you for taking the time to complete this study so far. This is the final question in the survey. Please answer to the best of your knowledge.
<br><br>
**Below is a list of common emotional disorders in children and adolescents. Please rank the disorders from those you understand to be most (top) to least (bottom) prevalent in children and adolescents (aged 5-19 years).** *To rank the disorders, click and drag each option to move into place.*","Thank you for taking the time to complete this study so far. This is the final question in the survey. Please answer to the best of your knowledge.
<br><br>
**Below is a list of common emotional disorders in children and adolescents. Please rank the disorders from those you understand to be most (top) to least (bottom) prevalent in children and adolescents (aged 5-19 years).** *To rank the disorders, click and drag each option to move into place.*","Thank you for taking the time to complete this study so far. This is the final question in the survey. Please answer to the best of your knowledge.
<br><br>
**Below is a list of common emotional disorders in children and adolescents. Please rank the disorders from those you understand to be most (top) to least (bottom) prevalent in children and adolescents (aged 5-19 years).** *To rank the disorders, click and drag each option to move into place.*","Thank you for taking the time to complete this study so far. This is the final question in the survey. Please answer to the best of your knowledge.
<br><br>
**Below is a list of common emotional disorders in children and adolescents. Please rank the disorders from those you understand to be most (top) to least (bottom) prevalent in children and adolescents (aged 5-19 years).** *To rank the disorders, click and drag each option to move into place.*"
1,1747388827375,16/05/2025 09:47:07,1747392427375,1,16/05/2025 11:47:07,212748,2,questionnaire-gp33,,46238945,pqunf92u,13437190,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1536x864,1528x704,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Social phobia/social anxiety disorder,Generalised anxiety disorder (GAD),Major depressive disorder (depression),Post-traumatic stress disorder (PTSD),Panic disorder,Specific phobia,Obsessive compulsive disorder (OCD) ,Body dysmorphic disorder (BDD)
1,1747392712561,16/05/2025 10:51:52,1747396312561,1,16/05/2025 12:51:52,212748,2,questionnaire-gp33,,46241460,x3abz8ug,13437408,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder (GAD),Social phobia/social anxiety disorder,Major depressive disorder (depression),Panic disorder,Obsessive compulsive disorder (OCD) ,Specific phobia,Post-traumatic stress disorder (PTSD),Body dysmorphic disorder (BDD)
1,1747661787704,19/05/2025 13:36:27,1747665387704,1,19/05/2025 15:36:27,212748,2,questionnaire-gp33,,46307047,wt0mtr4k,13455576,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Major depressive disorder (depression),Generalised anxiety disorder (GAD),Social phobia/social anxiety disorder,Specific phobia,Post-traumatic stress disorder (PTSD),Obsessive compulsive disorder (OCD) ,Panic disorder,Body dysmorphic disorder (BDD)
1,1747819808326,21/05/2025 09:30:08,1747823408326,1,21/05/2025 11:30:08,212748,2,questionnaire-gp33,,46363101,1yvfe5tm,13469879,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1200,1487x1032,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder (GAD),Specific phobia,Social phobia/social anxiety disorder,Major depressive disorder (depression),Panic disorder,Obsessive compulsive disorder (OCD) ,Body dysmorphic disorder (BDD),Post-traumatic stress disorder (PTSD)
1,1747910329477,22/05/2025 10:38:49,1747913929477,1,22/05/2025 12:38:49,212748,2,questionnaire-gp33,,46391499,gfbcbqvn,13477172,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder (GAD),Social phobia/social anxiety disorder,Panic disorder,Specific phobia,Major depressive disorder (depression),Obsessive compulsive disorder (OCD) ,Body dysmorphic disorder (BDD),Post-traumatic stress disorder (PTSD)
1,1748333601572,27/05/2025 08:13:21,1748337201572,1,27/05/2025 10:13:21,212748,2,questionnaire-gp33,,46537575,4kwyvpof,13510271,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder (GAD),Major depressive disorder (depression),Social phobia/social anxiety disorder,Obsessive compulsive disorder (OCD) ,Post-traumatic stress disorder (PTSD),Panic disorder,Body dysmorphic disorder (BDD),Specific phobia
1,1748339826104,27/05/2025 09:57:06,1748343426104,1,27/05/2025 11:57:06,212748,2,questionnaire-gp33,,46542655,s2b9t8f7,13511075,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x1024,1272x872,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Social phobia/social anxiety disorder,Major depressive disorder (depression),Post-traumatic stress disorder (PTSD),Panic disorder,Generalised anxiety disorder (GAD),Body dysmorphic disorder (BDD),Obsessive compulsive disorder (OCD) ,Specific phobia
1,1748340371147,27/05/2025 10:06:11,1748343971147,1,27/05/2025 12:06:11,212748,2,questionnaire-gp33,,46543161,r2dayoto,13511134,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x1024,1272x872,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Major depressive disorder (depression),Generalised anxiety disorder (GAD),Social phobia/social anxiety disorder,Specific phobia,Body dysmorphic disorder (BDD),Obsessive compulsive disorder (OCD) ,Post-traumatic stress disorder (PTSD),Panic disorder
1,1748352703862,27/05/2025 13:31:43,1748356303862,1,27/05/2025 15:31:43,212748,2,questionnaire-gp33,,46553910,jp0fc554,13513497,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,Prevalence,8,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Major depressive disorder (depression),Generalised anxiety disorder (GAD),Social phobia/social anxiety disorder,Obsessive compulsive disorder (OCD) ,Post-traumatic stress disorder (PTSD),Panic disorder,Specific phobia,Body dysmorphic disorder (BDD)
