Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,OCD Training object-2 Response,OCD Training object-2 Quantised,OCD training details object-3 Response,OCD training details object-3 Quantised,BDD Training object-4 Response,BDD Training object-4 Quantised,BDD training details object-13 Response,BDD training details object-13 Quantised
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"**During your qualification training, did you receive training in Obsessive-compulsive disorder (OCD)?**","**During your qualification training, did you receive training in Obsessive-compulsive disorder (OCD)?**","**Did the training on OCD cover:** 
","**Did the training on OCD cover:** 
","**During your qualification training, did you receive training in Body dysmorphic disorder (BDD)?**","**During your qualification training, did you receive training in Body dysmorphic disorder (BDD)?**","**Did the training on BDD cover:** 

","**Did the training on BDD cover:** 

"
1,1747388811171,16/05/2025 09:46:51,1747392411171,1,16/05/2025 11:46:51,212748,2,questionnaire-ero5,,46238939,pqunf92u,13437190,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1536x864,1528x704,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1747392670802,16/05/2025 10:51:10,1747396270802,1,16/05/2025 12:51:10,212748,2,questionnaire-ero5,,46241408,x3abz8ug,13437408,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,Yes,1,Both the diagnosis and treatment of BDD,3
1,1747661776841,19/05/2025 13:36:16,1747665376841,1,19/05/2025 15:36:16,212748,2,questionnaire-ero5,,46307026,wt0mtr4k,13455576,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1747819795519,21/05/2025 09:29:55,1747823395519,1,21/05/2025 11:29:55,212748,2,questionnaire-ero5,,46363083,1yvfe5tm,13469879,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1200,1487x1032,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1747910302202,22/05/2025 10:38:22,1747913902202,1,22/05/2025 12:38:22,212748,2,questionnaire-ero5,,46391488,gfbcbqvn,13477172,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1748333584002,27/05/2025 08:13:04,1748337184002,1,27/05/2025 10:13:04,212748,2,questionnaire-ero5,,46537568,4kwyvpof,13510271,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748339816808,27/05/2025 09:56:56,1748343416808,1,27/05/2025 11:56:56,212748,2,questionnaire-ero5,,46542646,s2b9t8f7,13511075,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x1024,1272x872,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1748340350336,27/05/2025 10:05:50,1748343950336,1,27/05/2025 12:05:50,212748,2,questionnaire-ero5,,46543153,r2dayoto,13511134,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x1024,1272x872,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1748352694040,27/05/2025 13:31:34,1748356294040,1,27/05/2025 15:31:34,212748,2,questionnaire-ero5,,46553904,jp0fc554,13513497,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748423632928,28/05/2025 09:13:52,1748427232928,1,28/05/2025 11:13:52,212748,2,questionnaire-ero5,,46588357,zr7bagj9,13519729,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,3440x1440,2283x1272,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,Yes,1,Only the diagnosis of BDD,1
1,1748510469602,29/05/2025 09:21:09,1748514069602,1,29/05/2025 11:21:09,212748,2,questionnaire-ero5,,46632279,io0v30oe,13528974,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,Yes,1,Both the diagnosis and treatment of BDD,3
1,1748510791721,29/05/2025 09:26:31,1748514391721,1,29/05/2025 11:26:31,212748,2,questionnaire-ero5,,46632519,1kcv2zp2,13529260,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748518131176,29/05/2025 11:28:51,1748521731176,1,29/05/2025 13:28:51,212748,2,questionnaire-ero5,,46636793,83n6ep4w,13530266,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,Yes,1,Both the diagnosis and treatment of BDD,3
1,1748524988232,29/05/2025 13:23:08,1748528588232,1,29/05/2025 15:23:08,212748,2,questionnaire-ero5,,46640238,4z7kgxxh,13531179,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,Yes,1,Both the diagnosis and treatment of BDD,3
1,1748594517551,30/05/2025 08:41:57,1748598117551,1,30/05/2025 10:41:57,212748,2,questionnaire-ero5,,46668174,3f2t9hbl,13536954,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748613668470,30/05/2025 14:01:08,1748617268470,1,30/05/2025 16:01:08,212748,2,questionnaire-ero5,,46675897,dwsavhya,13539608,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1536x864,1528x704,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1748613761546,30/05/2025 14:02:41,1748617361546,1,30/05/2025 16:02:41,212748,2,questionnaire-ero5,,46675933,22xkqxtt,13539579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1748613968781,30/05/2025 14:06:08,1748617568781,1,30/05/2025 16:06:08,212748,2,questionnaire-ero5,,46676016,gfjs82s6,13539606,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748615666653,30/05/2025 14:34:26,1748619266653,1,30/05/2025 16:34:26,212748,2,questionnaire-ero5,,46676698,wom6u2f7,13539943,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748863324258,02/06/2025 11:22:04,1748866924258,1,02/06/2025 13:22:04,212748,2,questionnaire-ero5,,46743593,tav9xm6p,13552540,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1748888151035,02/06/2025 18:15:51,1748891751035,1,02/06/2025 20:15:51,212748,2,questionnaire-ero5,,46763460,5a3g7oqx,13556250,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748896004470,02/06/2025 20:26:44,1748899604470,1,02/06/2025 22:26:44,212748,2,questionnaire-ero5,,46768011,73am8g3b,13557243,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,412x915,411x782,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,Yes,1,Both the diagnosis and treatment of BDD,3
1,1748903601875,02/06/2025 22:33:21,1748907201875,1,03/06/2025 00:33:21,212748,2,questionnaire-ero5,,46771142,heyauomu,13557860,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,412x915,411x785,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748904815680,02/06/2025 22:53:35,1748908415680,1,03/06/2025 00:53:35,212748,2,questionnaire-ero5,,46771537,hs22r389,13557968,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6,414x896,430x739,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
1,1748905643825,02/06/2025 23:07:23,1748909243825,1,03/06/2025 01:07:23,212748,2,questionnaire-ero5,,46771746,51vu0gp9,13557940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both the diagnosis and treatment of OCD,3,No,2,,
1,1748933673840,03/06/2025 06:54:33,1748937273840,1,03/06/2025 08:54:33,212748,2,questionnaire-ero5,,46775525,oc8yu3qb,13558849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,Training questions,10,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,No,2,,
